Nimi,Riiklikud Maksud,Tööjõumaksud ja maksed,Käive,Töötajaid
GELATO ESTONIA OÜ,41641,45110,115017,4
PRÜGIMEES OÜ,41620,23772,189341,13
PINTSEL EHITUS OÜ,41619,13920,209273,20
FICONTEC EESTI OÜ,41615,44665,164138,13
PRIVATE PROJECT OÜ,41576,45211,265303,21
AS PRFOODS,41572,32693,149548,6
KOOKLA SEEMNEKESKUS OÜ,41570,32915,174339,5
LÄHTE EHITUSE AS,41550,33350,582528,32
B PROJECT OÜ,41548,12652,213970,11
ROOSTEUSS OÜ,41546,23458,170592,11
RIMEREL OÜ,41546,23557,148889,11
MÜÜGIPARTNER OÜ,41531,20618,138087,53
GFC GOOD FINANCE COMPANY AS,41531,34903,58787,11
TARTU BIOGAAS OÜ,41526,21375,259272,7
ELEKTROMONTAAÞ OÜ,41518,22706,202920,16
ESPAK ALUMIINIUM OÜ,41490,19183,266133,7
MATISE EHITUS OÜ,41482,23772,223584,14
ELLENI PAGARIÄRI OÜ,41473,23315,158152,25
CREATIVE WOODWORKS OÜ,41455,43563,500486,17
MR PORTAL OÜ,41438,17062,385149,13
QVANT EHITUS OÜ,41438,25814,162157,12
TEKNOKOLOR OÜ,41420,22521,461609,10
MANIPENNY OÜ,41409,7909,284556,4
MOBIPUNKT OÜ,41396,6380,753959,13
ESPOVELLA OÜ,41393,7090,394833,8
MAPE PARKETT OÜ,41381,8957,248008,11
KEMITEK OÜ,41379,32048,869252,17
MADIMUS OÜ,41376,21371,26973,5
WETT EESTI OÜ,41372,31670,287070,17
KIVIEXPERT OÜ,41369,2205,478908,2
MYWORLD ESTONIA OÜ,41356,22269,177157,9
KINNISTU OÜ,41343,14539,138929,6
DIGITAL MAGIC OÜ,41340,35823,93213,7
NAERIS OÜ,41338,3612,258045,3
NILES OÜ,41316,13706,105731,10
NORD CONNECT OÜ,41313,43907,13538873,13
NIXOR AD AS,41312,25236,132025,6
HEVENCO OÜ,41299,24429,488246,9
FINTEMEC OÜ,41289,38059,558614,19
DREAM GROUP OÜ,41285,44142,99766,17
MÄFFY OÜ,41281,13856,292385,7
KORALLIKLUBI OÜ,41279,6551,341674,7
FENDERNET OÜ,41264,17382,276053,6
AMSPEC ESTONIA OÜ,41261,42187,138206,10
KAARINA EMBRO OÜ,41252,15893,158877,8
SIDMETALL OÜ,41245,11001,238156,10
TRÄX OÜ,41230,17064,437643,13
KRISLING OÜ,41224,40179,360428,26
OMA GRUPP OÜ,41200,4238,4650,1
BEST CREW OÜ,41190,20512,114398,7
E2 HALDUS OÜ,41182,34441,52242,13
PÄRNU SOVHOOS OÜ,41165,21810,144276,25
INTEREXPRESS EESTI OÜ,41159,29499,400359,18
SUUREKIVI ENERGIA OÜ,41152,17429,449960,15
GERMAN PRODUCTS ESTONIA OÜ,41149,6727,380523,3
RANNALA OÜ,41141,23434,169093,11
HORIZON TISSUE OÜ,41131,38986,526850,4
FOLK AUTO OÜ,41128,27370,812143,10
PUIT JA MÖÖBEL OÜ,41125,13559,290485,13
MOBALPA EESTI OÜ,41119,10770,365211,4
MEDICAL DENT OÜ,41118,41485,7528,15
BDA CONSULTING OÜ,41115,7441,483213,2
ANDRY MT OÜ,41093,11747,271130,5
NAVAL PROJECT MANAGEMENT OÜ,41093,24990,97851,21
NOSTREM PET OÜ,41083,12406,174981,19
CHANGE TECHNOLOGIES OÜ,41073,43275,1000,9
SUURE-JAANI HALDUS AS,41068,20674,183520,20
MENTOR-T OÜ,41064,27740,217175,17
TRADILO OÜ,41064,18713,845924,16
JERWER OÜ,41063,9162,347870,4
TRUCKSTAR SERVICE OÜ,41059,21329,308333,13
OSAÜHING RENOME,41058,23782,419294,27
HARBORT OÜ,41057,41045,170272,23
VENNAD EHITUS OÜ,41040,34637,454754,22
LAEVA PÕLD OÜ,41031,12409,300073,6
RANVIL OÜ,41007,21460,232104,10
KAMRON OÜ,41003,1146,213710,1
KIRIMÄE PÕLLUMAJANDUSÜHISTU,41000,13480,152871,6
OSAÜHING ARSTLIK PERENÕUANDLA,40999,43319,2280,31
INSTWORK OÜ,40999,3798,264398,5
ONEWOOD OÜ,40999,11920,157499,5
TRIMBLE SOLUTIONS OY,40989_5,44477,,6
WALDE AS,40989,7105,426469,5
VABAD KOHVIMEISTRID OÜ,40984,15740,270739,19
OÜ KÜLMSOO,40983,22596,188617,10
ESTLANDER GRUPP OÜ,40973,30141,234411,16
PREMIUMSTORE OÜ,40971,9988,365195,5
EDHOTELS OÜ,40962,31040,103872,9
TRANSLIFE OÜ,40955,8630,230722,6
TENTEST TRADE OÜ,40954,26560,327704,8
MARSTEN MARKETING AS,40950,16924,442970,5
EGIID OÜ,40949,27089,158375,16
VASKOREHITUS OÜ,40945,29798,306804,19
US PARTS BALTI OÜ,40944,29980,255969,8
KORTEK RE OÜ,40934,42033,422141,7
FAGEL AUTOMAATIKA OÜ,40925,11324,266528,7
VEGUMA OÜ,40906,44218,722038,24
EMERI KAUBANDUSE OÜ,40888,18518,526146,20
BREGVALD OÜ,40884,16490,835209,12
ENIMOR MET OÜ,40876,26990,366328,13
EGMONT ESTONIA AS,40873,30456,396104,12
SONOTRADE OÜ,40852,11747,225533,3
FOOKUS MEEDIA OÜ,40847,35791,285395,10
HAASOJA OÜ,40844,23515,177749,19
INDECON HOME OÜ,40843,14970,338440,7
UNITED FINANCE AS,40826,38664,46956,15
QUALITYHOME OÜ,40816,25729,140165,18
REDGATE CAPITAL AS,40814,31934,164414,7
TREIALI 2/4 OÜ,40807,3794,998482,2
HALJAVA OÜ,40804,22043,227143,14
EXARENT OÜ,40794,24132,208013,15
FINE BRANDS ESTONIA OÜ,40774,6069,788508,5
G-COLOR BALTIC OÜ,40773,6072,396070,3
ÖSEL CONSULTING OÜ,40771,19718,133389,9
NURMIKO AS,40747,23460,508382,25
TEADLIK EHITUS OÜ,40733,20869,205149,5
AGAMIKS OÜ,40727,24006,287454,24
RS NELLIK OÜ,40725,11219,175714,5
VICAND LIISGREN AS,40712,26549,620232,9
EESTI AND OÜ,40705,8736,359612,11
ÖSEL HARVEST OÜ,40703,15985,107223,7
DDB EESTI OSAÜHING,40691,25665,152533,6
ADVOKAADIBÜROO HERINGSON GLO OÜ,40663,15505,150417,9
DELAMODE ESTONIA OÜ,40659,21604,1524473,12
TECH AUTOMATION OÜ,40653,27047,5398,3
MUSTAMÄE HALJASTUS AS,40650,20762,276485,19
PÕLDEOTSA OÜ,40642,635,234975,1
MELKA AUTO OÜ,40622,32089,634676,16
TAIMISTU OÜ,40618,2193,213030,2
TARTU TURG AS,40618,16748,186811,10
HERMSEAL AS,40616,21003,571402,16
PROFILUX OÜ,40612,16613,253949,7
CARSMART BALTIC OÜ,40595,18021,214648,11
BAFCO OÜ,40592,5444,312256,4
KASTORAM WOOD OÜ,40586,26043,430166,25
CR WWS OÜ,40583,3898,601852,4
ERANTE PROJECT OÜ,40583,42020,16470,15
RAIDMAR EHITUS OÜ,40580,24176,106536,9
MESA EESTI OÜ,40568,18119,195704,9
RAADIO KADI OÜ,40558,42472,147085,29
ÕUEMEISTER OÜ,40553,13754,413620,1
EESTI HALDUS OÜ,40549,18044,299959,10
RAAMATUKAUPLUS KRISOSTOMUS OÜ,40544,15825,703289,10
JÜRMETS OÜ,40543,6176,220965,7
SEPTEMBER & RSS OÜ,40528,20412,164772,16
ETAL GROUP AS,40527,44257,481126,54
ENICS EESTI AS,40512,1254063,43608687,744
FORTLA OÜ,40511,27238,132928,10
ATOBERG OÜ,40496,17432,197203,15
STANDOOR EESTI OÜ,40487,23507,490517,10
OSRAM OY EESTI FILIAAL,40483,7749,348897,1
OÜ PLUS KOHVIKUD,40482,27667,179029,23
VARENAGRUPP OÜ,40478,10768,268656,6
MAFA ES OÜ,40476,13798,283886,5
MASARA OÜ,40471,43515,140000,15
PURPLESOFT OÜ,40446,33994,97200,17
SANTOVENTO OÜ,40426,24327,232358,20
PISO-PUIT OÜ,40408,27461,248587,30
RAKVERE AUTOTEHNIKA OÜ,40399,21941,462428,11
SAIMRE VILJAKASVATUSE OÜ,40397,44413,909584,17
ESTROTECH OÜ,40376,14992,292177,6
TEMONEN OÜ,40375,7500,376108,6
ETERNA KOOLITUSKESKUS OÜ,40374,20760,133846,52
VIA3L SPEDITION OÜ,40352,39538,614177,10
RAZOONE OÜ,40334,16746,215691,8
EESTI SOOJUSTUS OÜ,40323,15543,276850,2
T & E INVEST AS,40322,5809,256374,5
PROSHOE OÜ,40320,7415,307398,9
CAREFIN OÜ,40309,44918,332594,22
P102B OÜ,40307,3030,193515,2
CONTRACT UPHOLSTERY OÜ,40305,42165,148399,16
FENNOBED OÜ,40297,64983,1122200,37
GEO S.T. OÜ,40297,41316,107988,13
COMPANY EUROPE OÜ,40295,25241,337997,11
INCPROIT SOLUTIONS OÜ,40288,29669,98028,7
NABA OÜ,40261,42478,19780,39
KATLAABI OÜ,40256,8102,294993,5
ÖSEL FISH OÜ,40241,17389,432792,27
TDR SYSTEMS OÜ,40241,21975,320698,7
ID LAM OÜ,40220,12005,198676,7
OÜ LIGHTMAKER,40211,36168,495589,19
7KÄIKU OÜ,40205,31322,145476,40
BALTICHOUSE PRODUCTION OÜ,40203,23506,688801,16
SILFER OÜ,40188,21304,626893,11
M.A.S.I COMPANY AS,40178,118345,1638949,119
MENU MEEDIA OÜ,40174,22904,556832,9
MEDIANOVA OÜ,40172,15666,163066,11
RIS EHITUS AS,40171,12802,429197,7
BALTIC ARMAMENTS OÜ,40163,14246,827101,6
OÜ TELETORNI KOHVIK,40162,34577,185103,19
STOKKER FINANCE OÜ,40152,3906,303731,1
ESTDOOR OÜ,40150,27653,279724,10
ANDARES CONSULTING OÜ,40149,21727,94605,7
SIKUPILLI AUTOKESKUS OÜ,40146,3276,128327,1
DECARDO OÜ,40136,9758,312927,9
PIRMASTU OÜ,40116,9187,270040,5
TÜRI BEL-EST OÜ,40114,15104,354201,5
OÜ ABCDENT,40104,42121,4445,24
DENOR EHITUS OÜ,40091,18642,207424,14
STARFIRE OÜ,40089,10506,535320,9
LASERSTUUDIO OÜ,40084,24989,205914,13
HAMILTON GRUPP OÜ,40074,2557,619368,3
ANF DEVELOPMENT OÜ,40073,42621,6280,11
NOWAP OÜ,40055,23489,384687,18
MOOSTE FARMERID OÜ,40036,3100,203716,5
ROTUND OÜ,40033,1399,68710,2
BUILDNORD OÜ,40005,42516,0,15
NOKIMER OÜ,39997,44826,298433,20
DZIDRA OÜ,39977,11480,108269,6
AURTON INVEST OÜ,39970,44416,184210,15
BALTREFTRANS OÜ,39964,7864,975559,3
ELVA VARAHALDUSE OÜ,39921,24285,122434,24
SPORT&NET GRUPP OÜ,39921,20087,130825,7
OÜ BETVO,39913,1945,60000,3
MTG GRUPP OÜ,39912,14194,200148,1
CREDITREFORM EESTI OÜ,39906,38362,88596,12
NORDMET AS,39898,29117,27495,6
MORRISON EHITUS OÜ,39887,26808,890186,29
FAST TRANS OÜ,39885,21894,294301,20
AGRETTEN OÜ,39880,10016,351179,7
ANDRESE SOOLALADU OÜ,39853,6144,1026974,5
MAAKRI KVF OÜ,39831,14755,92937,8
AT4MET OÜ,39830,43435,421874,20
ARMO TEENUS OÜ,39819,29872,320187,20
HINGEHOID OÜ,39808,2245,129958,1
WHITE BEACH DEVELOPMENT AS,39797,27710,110726,11
SKAMET OÜ,39793,28828,231953,20
PRIMAN EHITUS OÜ,39768,13025,297287,10
ASTORFI SCANDIC OÜ,39766,32087,624635,15
ADMANUS OÜ,39762,619,399167,1
PROJEKTBÜROO TEINOS OÜ,39756,18451,120490,7
KUMMIKUNSTNIKUTE OÜ,39751,3214,410503,5
ARHITEKTUURIBÜROO LUHSE JA TUHAL OÜ,39751,21696,161695,14
BABAHH MEDIA OÜ,39750,21994,219385,10
TRESDEN OÜ,39749,12984,322884,7
BILDEX BETOON OÜ,39746,29667,256958,19
ONEWORK OÜ,39745,41393,144123,15
VIA MEDIA OÜ,39739,42619,1319878,15
STOCKHOLDER OÜ,39727,1484,412286,3
SEREETER OÜ,39727,43383,255583,52
OÜ PUBLICON,39726,17105,313925,8
SALT TRADE ESTONIA OÜ,39719,3268,936685,1
E-PROFIIL AS (PANKROTIS),39717,29059,33980,4
TIMETMÖÖBEL OÜ,39714,28980,141527,14
KIVI PAGAR OÜ,39708,23470,146440,20
AS RESPECTUS CAPITAL,39705,1369,320733,3
PLEKIKESKUS OÜ,39685,4466,270694,5
OTTSON OÜ,39675,22981,240123,12
TEKTUM OÜ,39673,8691,345588,3
ROADSERVICE OÜ,39667,24703,648131,8
PRO SERVICE ESTONIA OÜ,39665,25878,205843,10
LAVEX AS,39649,14029,284463,19
TERMOPILT OÜ,39648,25518,103331,13
EHTO OÜ,39636,28909,984458,17
TIMMET METALL OÜ,39635,25635,162711,11
TEHENERGO OÜ,39632,3633,306546,2
UMAMI OÜ,39631,9896,318488,9
TUGEV PARTNER OÜ,39612,24086,171038,18
T.A.BUSSID OÜ,39596,23527,221522,10
TPS MONTAGE OÜ,39567,23344,87500,13
LANGEPROON HÜDROISOLATSIOONITÖÖD OÜ,39556,22531,297401,12
FIRMUS ELEKTER OÜ,39548,22016,290076,8
FANDANGO FASHION OÜ,39538,17153,274511,17
AMMECO AUTO OÜ,39533,23716,167665,11
IDENTITY OÜ,39522,24080,143400,10
SMARTMATIC-CYBERNETICA CENTRE OF EXCELLENCE FOR INTERNET VOTING OÜ,39521,42810,87176,14
CARNET OÜ,39513,22920,548787,15
KLIENDITUGI OÜ,39484,21796,182438,14
AR TÄHELEND OÜ,39481,22403,105416,13
UNICO EESTI OÜ,39471,14844,435084,15
YES SPORT OÜ,39471,10584,312677,9
LOYATIC OÜ,39461,12612,162610,8
TÕNU EIKI TRANSPORT OÜ,39460,21539,212779,10
HOTELL STROOMI AS,39458,33261,184969,29
EKOOL AS,39456,24379,152046,10
GOTOANDPLAY OÜ,39456,28656,141174,13
BALTIC HOTEL GROUP OÜ,39455,43130,229534,35
VALIOR OÜ,39454,11848,400434,8
OÜ VESI,39448,23819,270907,13
INTRAX GRUPP OÜ,39432,3027,4854,2
TANI METS OÜ,39430,5610,369552,7
ROBIN KINNISVARA OÜ,39429,1256,225093,1
PLM HOOLDUSE OÜ,39413,25261,158305,30
OSAÜHING NARVA KOHVIK,39401,22788,157950,19
SOFAHOUSE OÜ,39394,34009,389168,25
MILTTON NORDICS OÜ,39385,20733,173987,3
PEWELD OÜ,39383,12741,625327,11
JAAGOR GRUPP OÜ,39382,19381,1802142,8
ERIVET OÜ,39380,22406,138773,7
RALDON OÜ,39369,23968,306053,24
KERO TRADING OÜ,39332,14772,274669,5
VÄSTRIKU LOOMAKLIINIK OÜ,39300,23139,159160,14
ANKATRANS OÜ,39292,6767,204156,8
FILIKOR OÜ,39291,18449,168385,13
AKVAMARIN OÜ,39291,24154,94842,10
JÕE-PROJEKT OÜ,39284,10983,174635,21
TALBOKS OÜ,39277,16348,360109,16
TIINARAAM OÜ,39273,33696,386271,12
METSAKOHVIK OÜ,39270,24128,197684,30
MAKSIMS OÜ,39267,18567,122341,11
AHTIMA OÜ,39259,18388,250306,11
ECOSH LIFE OÜ,39252,6975,274552,9
GUIDE MARKETING OÜ,39246,25331,177292,15
GRUPP TRÜKIAGENTUUR OÜ,39238,11584,727118,7
RENERIET ESTONIA OÜ,39227,42598,185913,80
ELEKTRO ISB OÜ,39213,2367,515433,4
OÜ ÜLO,39209,25574,203128,22
NE-VA TRANS OÜ,39208,18165,756416,21
COAL TERMINAL AS (PANKROTIS),39208,6894,163333,2
ALGEREST OÜ,39207,9057,763310,6
KAIDOSK TEENUSED OÜ,39205,20384,165265,2
NOCRY OÜ,39200,36774,2086,13
FRIENDLY FINANCE OÜ,39188,39138,25405,7
AGMERAL OÜ,39180,19918,374336,9
EOMAP KAUBANDUSE OÜ,39177,12222,231295,9
COPRINT OÜ,39169,31332,142025,13
OSAÜHING SANDONA,39163,13397,364742,9
FAVORTE OÜ,39135,5328,148291,3
PROJEKT KUUBIS OÜ,39135,42393,253396,21
TEPLOMONTAAÞ OÜ,39130,23943,85335,8
L & P TRANSPORT OÜ,39129,7562,227578,12
MOODUL PROJEKT METALL OÜ,39106,15387,204137,5
AGRICOM TEHNIKA OSAÜHING,39101,30056,275281,10
ERITRADE KODUKAUBAD OÜ,39058,13639,251565,6
NEPCON OÜ,39055,39188,193878,16
NORETE GRUPP OÜ,39047,28413,468283,7
EGR GRUPP OÜ,39026,19325,303711,11
WISERCAT ESTONIA OÜ,39019,18317,415748,21
MARBERON OÜ,39018,561,194159,1
BETMIX OÜ,39007,19189,281125,1
INFAST OIL AS,38994,23782,487172,18
MAERSK EESTI AS,38986,41432,144191,9
ENSOL OÜ,38981,12219,506496,5
SEMT OÜ,38973,15508,1703531,3
MULGI EHITUS OÜ,38961,17335,253865,9
AURE OÜ,38959,10040,231082,6
GRIS KAUBANDUSE OÜ,38956,11477,227274,14
KRABU GRUPP OÜ,38932,22092,123572,8
LOODUSE ABI OÜ,38919,20655,239362,29
KOMINOX OÜ,38907,33004,2754511,10
ASPAR-TRANS OÜ,38906,36119,476454,24
SIA INVENTA GROUP EESTI FILIAAL,38857,7964,158858,17
SPURTFAAS AS,38847,19593,293056,15
R&P GRUPP OÜ,38846,11394,349589,9
DEMADES OÜ,38845,24136,199381,30
GABRIEL SCIENTIFIC OÜ,38826,34648,292655,15
ATEA FINANCE OÜ,38811,6412,737550,1
BTISOLATSIOON OÜ,38807,40626,679054,20
RUUT8 OÜ,38807,41993,5660,14
HAAPSALU METAL OÜ,38806,48625,716613,29
KAUBAKESKUS OÜ,38800,1251,183861,1
LAMIPAP OÜ,38799,40475,1621426,45
ARMATOR AS,38793,14140,152905,7
ARCOL OÜ,38785,7623,339428,3
TÖÖRIISTA & TEHNIKA OÜ,38773,7739,345070,4
A-SEKTOR OÜ,38760,12043,339618,9
PAMBU OÜ,38747,29313,149910,43
IRMARI OÜ,38745,30138,243148,14
ARN TRANS OÜ,38736,6530,216850,10
HEKVA OÜ,38728,31192,81670,14
STATUS EHITUS OÜ,38715,21890,111017,19
OÜ RUUTU KUUS,38713,22054,182409,8
OSAÜHING PHARMAC MS,38659,17903,1151048,13
REHVITAKSO OÜ,38658,12229,301738,8
REI GEOTEHNIKA OÜ,38655,24609,117498,14
EBS EXECUTIVE EDUCATION OÜ,38647,16975,235470,11
SCHÜCO EESTI OÜ,38625,40300,242050,7
INFOBUILD ESTONIA OÜ,38613,17902,176006,3
SCANBALT CRANE OÜ,38610,23970,285220,9
TRISTORE OÜ,38599,21140,117893,6
RÖDL & PARTNER AUDIT OÜ,38584,33107,78261,11
EQUA OÜ,38568,40609,559302,32
AS TURVAMEHED,38564,25379,78644,32
EESTI KINNISVARAHOOLDUSE OÜ,38561,21781,117851,15
UNIMED GRUPP OÜ,38555,39831,172753,9
GOAL MARKETING OÜ,38543,19316,129973,8
VALTU VEIN AS,38542,33705,-378790,15
PELSMAR OÜ,38537,2341,340125,4
ESTONIAN LINES OÜ,38528,25613,79066,17
VALDEPOL OÜ,38526,27621,207951,16
SAVOTTA OÜ,38526,42528,274462,67
NOVUS GRUPP OÜ,38517,9746,353795,5
PIHLAKA FARM OÜ,38463,20112,170039,13
MEHNTACK OÜ,38439,27544,191600,29
VK FOOD OÜ,38426,1470,90731,1
JUST FOREST AMJ OÜ,38415,8605,419687,5
SUDEX OÜ,38408,4982,295600,6
OÜ BELFOREST TRADE,38390,4265,172086,2
TOVARISTVA Z OBMEÞENOJU VIDPOVIDALNISTJU JUGMARINSERVIS EESTI FILIAAL,38389,19834,149961,18
PROTOLAB OÜ,38387,29063,206742,17
ALDEN EHITUS OÜ,38387,26159,287262,27
PUUKAST OÜ,38383,21171,263141,12
PÕLTSAMAA GREID OÜ,38381,26399,277723,16
MARINE ALUMINIUM INDUSTRIES OÜ,38377,10295,200100,7
SHOPPING CENTER OÜ,38374,15446,262439,10
LA MUU OÜ,38349,27698,190858,15
NETROO OÜ,38340,17132,220244,8
VÄLK OÜ,38340,38476,647183,29
TRENDMASTER OÜ,38330,27443,368946,17
VANA VILLEM OÜ,38308,20035,232013,24
PESUPANDA OÜ,38304,22637,139002,24
KVALITEETTEHNIKA OÜ,38284,7245,313193,3
POPULAR OÜ,38283,24128,228190,32
GENEVA OÜ,38282,15855,172405,30
ADERICO OÜ,38271,9954,285546,6
KARMA VENTURES OÜ,38258,38887,705128,5
NORDIC HOUSES OÜ,38255,10405,54150,1
TIIDO JA PARTNERID KEELEAGENTUUR OÜ,38244,26204,132860,23
ELULILL OÜ,38242,7902,167975,4
FEMW OÜ,38220,32883,345689,19
ALEVIKINNISVARA OÜ,38213,18673,151586,6
PEOPAIK OÜ,38205,20471,170703,22
ESTMADE OÜ,38194,1445,390952,2
ADELL TAEVAS PR OÜ,38188,13621,185353,4
KALALAEV KOTKAS OÜ,38186,14279,153541,5
TANTAL-SP OÜ,38180,18200,399776,25
MARTIN AUNIN,38172,13020,151930,4
IC PÄRNU OÜ,38171,25226,102758,15
KINNISVARA HOOLDUSTEENUSED OÜ,38171,22955,83458,63
AK LOGI OÜ,38168,1133,190693,1
EBV ELEKTRONIK OÜ,38155,40552,140407,15
ARTPROOF OÜ,38154,40624,411206,22
VMF ESTONIA OÜ,38146,23919,91598,14
HARTREM OÜ,38143,25354,883255,13
KAHU & KAHU EHITUS OÜ,38141,21110,450749,11
STEEL EXPRESS OÜ,38138,37422,1018357,28
TEINE NOORUS OÜ,38123,18377,282710,37
VERITUM GRUPP OÜ,38118,1660,171315,3
ÖSTERBY OÜ,38117,17683,130728,5
SKONE GRUPP OÜ,38111,29952,481690,24
VEIDIKO COMPANY OÜ,38106,15036,489906,15
ARUUT OÜ,38077,34238,266488,18
EHITUSAGENTUUR OÜ,38048,13103,153313,6
REESTER AS,38032,39610,508010,24
POLÜPAKEND OÜ,38017,23627,268770,18
LINETTE RETAIL OÜ,38004,21191,285814,20
SKYBALT KINNISVARA OÜ,37997,9001,140004,3
AKTIVA METS OÜ,37989,12231,276276,6
ULTEX HALDUS OÜ,37965,23483,138927,21
SEIKLUSPARK OÜ,37914,35127,38709,5
BOOMERANG CABLE OÜ,37912,40903,771592,27
AKELAKS OÜ,37906,15077,513191,9
PÄRNU REV KAUBANDUS OÜ,37899,20330,275357,15
INESTRA OÜ,37899,9083,549681,4
BRAIN GAMES OÜ,37895,15567,261903,14
IIVAKIVI AS,37875,22262,205554,20
T-MODEL OÜ,37874,19347,150567,8
JANTOR INVESTEERINGUD OÜ,37874,12278,146754,10
MITSMET OÜ,37873,22504,103374,9
K-CORDISK OÜ,37870,30318,517289,44
RENNEKS KAUBANDUS OÜ,37862,21619,814319,11
NOBLESSA BALTIC OÜ,37859,3868,356007,4
AVOKOL EHITUS OÜ,37856,21942,110616,11
OÜ SIMSON SERVICENET EE,37834,29588,362301,21
SPORTID INTERNATIONAL OÜ,37829,32692,103916,18
LEXIT TECHNOLOGIES OÜ,37827,41568,27415,11
RESTORAN ARMUDU OÜ,37815,24629,291167,40
SVS-L AS,37800,23435,184721,36
SKOR OÜ,37799,6591,301009,2
GENERAL ELECTRIC INTERNATIONAL INC. EESTI FILIAAL,37788,33564,109343,4
VENT SYSTEM PROJECT OÜ,37774,21577,266655,23
AIRSMILE OÜ,37768,17472,282869,9
ALFRINA OÜ,37762,40590,339108,42
MELG-AUTO OÜ,37746,21125,230737,10
REVENANT ELEKTRITÖÖD OÜ,37743,20191,138600,11
KAERUM OÜ,37729,571,165859,1
ABC KÜTE JAHUTUS VENTILATSIOON OÜ,37727,17581,466345,7
TEXTEAM OÜ,37692,13665,294005,15
PROTONE OÜ,37676,29965,149059,13
KUUBIK PROJEKT OÜ,37671,20199,137281,8
PRESTO OÜ,37669,23300,197271,31
MARTTIINI ESTONIA OÜ,37658,30606,107831,39
HALDJA HAMBARAVI OÜ,37656,40575,4973,18
HABERST INFRA AS,37641,23008,153271,12
NOMINETE OÜ,37634,8859,414660,8
KOLM SIBULAT OÜ,37631,24865,142758,17
TONITO OÜ,37631,4415,325072,2
EMART OÜ,37627,11440,272158,7
HIIE ARENDUSE OÜ,37625,561,209349,1
NIGULISTE 6 OÜ,37618,19038,201005,11
STIGO OÜ,37604,39478,64054,8
SEEGI MÖÖBEL OÜ,37590,10926,292524,12
FAIRFOOD OÜ,37587,12412,451664,3
KB EESTI OÜ,37575,10599,257569,6
RAPLA VESI AS,37571,18540,163776,15
PAADENURME PUIT OÜ,37541,10374,299549,6
PENTAMET OÜ,37472,39745,312209,22
ARVGAL TRANS OÜ,37470,24453,154717,13
PROJEKTIEKSPERT OÜ,37467,15367,163375,19
VR-KODA OÜ,37450,42163,200294,59
SAXAMER OÜ,37443,10351,254697,8
ERINEVATE TUBADE KLUBI OÜ,37440,18514,178724,10
FINEST METALLID OÜ,37440,40005,340876,24
DVIGATEL GAAS OÜ,37436,1016,217901,1
OÜ NOCA,37426,40419,223872,18
FASSAADISOOJUSTUS OÜ,37426,23293,80919,30
AKTSIASELTS NORDIC LUMBER,37418,38884,1143443,23
PREMIUM MANAGEMENT OÜ,37413,40528,253248,15
TKSK OÜ,37410,30351,201569,12
KALAMEISTER OÜ,37409,561,284392,1
EESTI SAI OÜ,37403,21593,257770,12
AMÕL OÜ,37403,1253,252299,2
CHOCOLALA OÜ,37400,15118,257577,12
ILSTRO EHITUS OÜ,37398,11609,195305,14
PERETEC OÜ,37385,40097,407363,21
TJO KONSULTATSIOONID OÜ,37379,17506,121082,6
TAEVARAADIO OÜ,37373,1610,121641,1
BALTIMORE RIBS OÜ,37372,20698,250654,22
ALLEDEM OÜ,37343,18780,427738,13
MARMAADA OÜ,37342,26033,129497,12
PÕLVA SOOJUS AS,37327,15740,327451,13
RAVAROMET OÜ,37321,35248,234851,17
KAILONG OÜ,37318,21557,138687,16
GORAIL AS,37315,39623,480492,15
ELEMAIN OÜ,37311,1987,297925,2
SPECTX OÜ,37292,31961,40172,5
M & M METS TRADE OÜ,37282,20543,236743,10
LED HOUSE OÜ,37281,8616,254849,4
ELTRUM OÜ,37280,30582,179796,26
ALD AUTOMOTIVE EESTI AS,37278,63001,3738370,15
RANDOMER OÜ,37276,141,266849,1
BESTAIR OÜ,37271,28553,11652983,10
MAI APTEEK OÜ,37265,28091,501039,12
PIHLAKA TRANSPORT OÜ,37260,10047,161801,8
ALLCAR OÜ,37245,3493,355076,4
ISOEST OÜ,37244,16955,249432,12
AMELLO RAAMATUPIDAMISTEENUSED OÜ,37224,24449,90396,16
ENTAR AUTO OÜ,37220,25432,166359,12
SLIPEST OÜ,37220,2509,205752,1
FFC LOGISTICS OÜ,37201,4857,989773,6
ERALD NORDIC OÜ,37200,10488,128505,8
DUO AUTO OÜ,37194,18209,344032,9
KABERLAND TOOTMINE OÜ,37192,11026,216793,11
BASEILO OÜ,37190,18108,176597,13
DIRECTSPACE OÜ,37182,31295,401177,9
ELEKTRIMASINAD OÜ,37178,13083,164371,11
HARDEST EHITUS OÜ,37177,19606,532576,7
ALANT EHITUS OÜ,37174,16468,411010,16
AKTSIASELTS KRAPESK,37171,18240,129651,10
FORTIMEKS OÜ,37156,3375,756970,2
ALFICO GROUP OÜ,37153,21262,121886,15
TURKISH AIRLINES INC. EESTI FILIAAL,37152,40704,826579,7
NORD ENERGY OÜ,37151,20182,178967,8
MAIDIGA OÜ,37120,39385,322151,53
NORDMETALLIK OÜ,37100,40258,233284,15
NIRVANA OÜ,37096,21524,210708,24
UNIT4 EESTI OÜ,37070,39721,139657,7
MR MANAGEMENT CONSULTING OÜ,37064,3397,67364,1
KARUMED EHITUS OÜ,37054,15038,137492,8
RIVEST OÜ,37020,30864,594686,31
WAM BALTIC OÜ,37016,8106,355643,1
DIALOOG AS,37002,18239,177672,39
