Nimi,Riiklikud Maksud,Tööjõumaksud ja maksed,Käive,Töötajaid
BIGBANK AS,1533840,1089072,1208178,251
MOBEC AS,1525541,262206,12713011,110
ANTALIS AS,1523516,214551,13357861,56
JYSK LINNEN`N FURNITURE OÜ,1520303,206719,13283115,184
AUTO-BON BALTIC OÜ,1506671,111705,35874686,19
SAINT-GOBAIN EHITUSTOOTED AS,1503428,230037,14823466,59
TALLINNA LENNUJAAM AS,1501764,1106047,10411197,396
PREMIER RESTAURANTS EESTI OÜ,1500918,537001,8559463,537
CITY MOTORS AS,1498438,200074,14126270,60
MAAG GRUPP AS,1487669,149557,13653426,66
AS EKSPRESS MEEDIA,1485315,1068173,7076742,353
RIIGI KINNISVARA AS,1482707,729553,28222727,269
AMV LOGISTICS OÜ,1440006,43149,409271,20
RUUKKI PRODUCTS AS,1439387,369568,25875902,122
KATOEN NATIE EESTI AS,1436652,100916,1859793,30
DFDS A/S EESTI FILIAAL,1431339,163823,10213555,58
ORICA EESTI OÜ,1420995,348112,9640222,80
KARL STORZ VIDEO ENDOSCOPY ESTONIA OÜ,1396096,472133,12555285,210
E-BETOONELEMENT AS,1383781,845103,11740806,296
MAKITA OY EESTI FILIAAL,1366077,161396,32857115,48
COCA-COLA HBC EESTI AS,1349102,369813,10262746,93
AS HKSCAN ESTONIA,1340955,1876596,53835946,1124
MAGNETIC MRO AS,1332170,1209957,19633594,383
LATAKKO OÜ,1329246,27459,13400255,7
KUNDA NORDIC TSEMENT AS,1284204,603429,13977976,176
LINDSTRÖM OÜ,1271086,306792,4582905,156
ATEA AS,1256424,205903,11466187,67
INFO-AUTO AS,1252793,456171,16536039,160
FEB AS,1239594,380660,13761825,129
IMATRA ELEKTER AS,1236617,123673,11494404,41
AS OPERAIL,1233871,1314250,17060208,702
VILJANDI AKEN JA UKS AS,1233750,1401019,24150685,633
APL AGENCIES ESTONIA OÜ,1226695,1331863,4274187,608
OSAÜHING EESTI KILLUSTIK,1226333,273857,5985172,73
JUNGENT ESTONIA OÜ,1221562,248975,15291507,63
TARDEK OÜ,1215691,20734,225591,16
KLICK EESTI AS,1215038,262040,11515394,136
ASSA ABLOY BALTIC AS,1210968,101157,9538394,25
W.EG. EESTI OÜ,1210681,336099,14619645,95
HARJU TARBIJATE ÜHISTU,1206579,812700,26919501,667
SLO AKTSIASELTS,1205039,223827,10026238,70
OSAÜHING BALTIC AGRO MACHINERY,1200540,239117,9282780,50
EURO WORK OÜ,1196952,877918,2754211,286
FORTACO ESTONIA OÜ,1195791,1179558,18301895,525
ALAS-KUUL AS,1189175,220920,9442557,62
KIA AUTO AS,1177076,60569,24642853,18
RADEMAR OÜ,1174624,278605,10370787,202
KARLSKROONA OÜ,1170662,197663,8155734,127
ESPAK AS,1162236,577955,23408191,216
CRAMO ESTONIA AS,1159078,550286,7849535,169
NORDIC CREW MANAGEMENT OÜ,1158924,744000,2703935,160
EESTI KESKKONNATEENUSED AS,1146614,991256,10847222,566
ESVIKA ELEKTER AS,1146528,289375,12120203,76
ALEXELA ENERGIA AS,1142246,107039,10724039,45
INTER CARS EESTI OÜ,1140755,94047,12947877,31
BAUHAUS EESTI UÜ,1123129,289104,10554156,197
TREF NORD AS,1122751,394224,10589281,103
ABC MOTORS AS,1115934,191559,24229001,55
AKTSIASELTS FUJITSU ESTONIA,1112761,1174252,4174490,394
NÕO LIHATÖÖSTUS AS,1104864,375975,11024189,183
TATOLI AS,1102269,144589,12070459,51
TOPAUTO AS,1100340,173524,9070439,61
LTH-BAAS AS,1093798,1118308,22736386,483
TERVE PERE APTEEK OÜ,1091877,1015279,26734405,543
OÜ KOCH,1089634,27199,3047879,18
ELLEX RAIDLA ADVOKAADIBÜROO OÜ,1085159,353114,3828412,65
KPG KAUBANDUSE OÜ,1082078,300054,9042133,209
LENNULIIKLUSTEENINDUSE AS,1076975,1149792,8195623,214
PRYSMIAN GROUP BALTICS AS,1075860,511363,38092148,150
EESTI PAGAR AS,1071839,549099,15768047,296
PREMIA TALLINNA KÜLMHOONE AS,1065092,384588,9040196,199
EESTI AGA AS,1063782,680762,17065092,220
FUND EHITUS OÜ,1057074,309936,17633194,61
ÄRIPÄEV AS,1056274,711021,5107782,270
AS FRAMM,1053891,614181,7146540,208
DECORA AS,1051455,509647,15869776,257
ANNE SOOJUS AS,1050351,111101,8939354,41
SMARTEN LOGISTICS AS,1043509,651911,22738327,364
HELMES AS,1040827,893827,9537509,164
SILBERAUTO EESTI AS,1036109,710520,26064006,277
NOVOLOTO OÜ,1033027,236736,458502,170
TIETO ESTONIA AS,1026084,1003474,4789366,310
KAUPMEES & KO AS,1021839,454805,21880069,288
